# BEAST v1.6.1, Build r3651
# Generated Sun Nov 08 18:54:00 EST 2015 [seed=1447026808856]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Felis/Lynx/Puma)	tmrca(Lion/Leopard)	tmrca(untitled3)	yule.birthRate	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
6200	-8127.26794465355	-26.300303198613438	-8100.967641454937	21.426769589514027	6.61153877147817	3.5709505692127506	6.61153877147817	0.1203625176710392	2.355440585599373	0.511509184480025	0.02881190722247994	0.12191904462058065	0.02961178908828956	0.12161564311655342	0.23828807912710098	-8100.967641454937	-22.745173522542853
6400	-8126.837309974499	-25.348578182852222	-8101.488731791646	18.835125611207495	5.631004508560705	2.8057962650860557	5.631004508560705	0.0686132937061675	2.355440585599373	0.511509184480025	0.03626594458371068	0.082253232271795	0.03613784452068529	0.06779264743354502	7.566160407206421E-4	-8101.488731791646	-20.998124787187475
6600	-8131.210278174915	-25.933613260852212	-8105.276664914063	20.03603940001881	6.937064557517106	3.3068182172444716	6.937064557517106	0.04100354291485346	2.355440585599373	0.511509184480025	0.030771226350502053	0.08715068841322664	0.031141688543003563	0.08559258138118707	-0.059659869311274524	-8105.276664914063	-22.48156228108119
6800	-8127.9894066783245	-27.33553974533136	-8100.653866932993	20.32467934972275	5.480973207956344	2.9877006235269064	5.838896476580692	0.03234120502860623	1.925575002234266	0.511509184480025	0.029961166295798546	0.10471543208733092	0.028729348501971976	0.08739728700606372	-0.365381838350576	-8100.653866932993	-23.09426447148583
7000	-8131.089095659951	-27.746377790836554	-8103.3427178691145	27.062362822560377	7.441352552143794	4.51597045113408	8.360657077844342	0.031738164504618055	2.3332697380335827	0.511509184480025	0.022254207716157916	0.11212533713726366	0.021944308125918553	0.06448264894885058	-0.20893822670298118	-8103.3427178691145	-24.00736497389054
7200	-8126.166422741007	-26.282419458815305	-8099.884003282192	24.86695974339487	6.613452803215549	3.897018639147267	7.53642872116624	0.05061311677324534	2.3332697380335827	0.511509184480025	0.023824812738891754	0.08642056706836627	0.02355081565524977	0.10922822651063799	-0.048664940627949224	-8099.884003282192	-22.83876685064592
7400	-8127.620363003393	-26.49069054444624	-8101.129672458947	25.3037002141176	6.69335074356748	4.400343875654706	7.709157888998003	0.04804852125202847	2.3332697380335827	0.511509184480025	0.025850396184959247	0.07112513000909694	0.025339816174620552	0.06938849468275933	-0.07471919034128556	-8101.129672458947	-22.918669798699153
7600	-8126.743400201223	-26.617161931454135	-8100.126238269769	19.134815742129984	5.663360581137071	3.4412886319656346	6.285367064925022	0.03779290334791892	2.3332697380335827	0.511509184480025	0.027265386941207493	0.120855852080338	0.029720475781947336	0.0906137043286867	-0.48951400976938764	-8100.126238269769	-22.529555973247614
7800	-8128.178311152694	-26.70230548336732	-8101.476005669327	25.912892844255428	6.713649045480435	4.363531001660913	8.09239940767248	0.04535821895441082	2.2254203613623753	0.511509184480025	0.022071152924712078	0.11563296209378704	0.023332043937284146	0.11029189588832558	-0.15758478015975255	-8101.476005669327	-23.065745906251728
8000	-8124.786347936597	-26.66567819970264	-8098.120669736894	21.834179958636064	6.312855109462955	3.6219292904016456	6.860037003893182	0.03720547324217788	2.2254203613623753	0.511509184480025	0.02620035023765735	0.15238636685067833	0.027145981394781523	0.11710754403931697	-0.05210724402201425	-8098.120669736894	-22.964333276307972
