# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 17:26:21 EST 2016 [seed=1451773564380]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
1000	-401084.09635487053	-937.5648769579611	-400146.53147791256	439549.55218779086	126365.26963618299	74890.976466166	361570.48800210626	73351.51521007688	354291.4067091827	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.0	1.055582501859171	4.2704826718173296E-6	-127408.93136801761	-131832.12255631792	-140905.47755357708	-924.1773451550627
1100	-392728.35636657994	-943.8653149877673	-391784.49105159217	393238.1810890955	136106.45106421696	79651.78420010027	384555.46772687306	78014.45963123417	379727.3654636606	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.0	1.055582501859171	3.8055721725195106E-6	-124829.0196787529	-129061.00314543433	-137894.4682274049	-930.5235946510952
1200	-390497.8846982531	-916.7560008495092	-389581.1286974036	390365.9128991337	135112.30998473777	79069.9961209315	381746.61932316853	77444.63080602892	464197.3939634235	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.0	1.055582501859171	3.3073665234987496E-6	-124158.77878553164	-128349.44016196855	-137072.9097499034	-903.3535979487511
1300	-386775.82347765216	-916.2029837653263	-385859.6204938868	513106.91918923234	177595.068703457	103931.62099785825	501777.4997235174	101795.19934389537	682967.9613538445	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.064114302607755	0.9914562353957324	2.516206864404952E-6	-122915.29806419664	-127223.28307575274	-135721.03935393743	-902.6875691011461
1400	-385495.85672640876	-944.1162808877713	-384551.74044552096	607858.2937815652	175707.83208368206	123123.84699379075	575041.3101481834	120592.90934159953	689174.325701358	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.064114302607755	0.9914562353957324	2.1239870631782095E-6	-122469.83102358691	-126790.9980457828	-135290.91137615129	-930.7611080070016
1500	-381997.645613399	-935.6666667185468	-381061.97894668044	718598.8642951456	220304.783792649	147535.82931543564	689055.7650267815	144503.07819062288	966514.7475044415	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.064114302607755	0.9914562353957324	1.6633231546514056E-6	-121364.8670571483	-125664.64480529379	-134032.46708423833	-922.2175245661155
1600	-375635.9892074566	-909.1973687058158	-374726.79183875077	849820.5832990739	261634.11507389785	175213.6539212347	818231.4845731369	171611.95656759682	3499122.7373798713	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.944427868010579	1.064114302607755	0.9914562353957324	1.4005744161432667E-6	-119298.06978122806	-123621.05078706796	-131807.67127045477	-894.6334186581107
1700	-373279.41315712174	-910.1165769247385	-372369.296580197	849820.5832990739	250778.26874853688	175213.6539212347	794174.6903293751	171611.95656759682	3025996.5714695617	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	1.0071637130172113	1.0013784576011227	0.9914562353957324	1.3888122206445627E-6	-118550.24075200755	-122937.65987232549	-130881.39595586396	-895.7063238371386
1800	-371051.23085287743	-948.8902751923778	-370102.34057768504	1706113.2764445064	496686.19286919	351458.56921321125	1588269.881100503	344233.97586492327	5136108.181000068	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	1.0035845798912801	1.0049575907270538	0.9914562353957324	6.74214581983465E-7	-117765.82594071377	-122171.67063971644	-130164.84399725485	-934.6729000148334
1900	-369591.6628794661	-968.7363702447799	-368622.9265092213	2444178.8429418392	711552.9202856482	493726.5691708183	2275356.328248975	490737.5355967531	8529508.241251158	2.5001869300098676	2.6610401269722583	2.499564481451506	0.4616673560780379	0.5	0.5	1.0035845798912801	1.0049575907270538	0.9914562353957324	4.7128337237338025E-7	-117403.23251998624	-121801.9026859426	-129417.79130329247	-954.174399556209
