# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:36:19 EST 2016 [seed=1451770534910]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
1500	-377419.18720469973	-849.9931449246461	-376569.1940597751	246333.1450417282	50022.169612627935	100234.70935404908	89502.912318192	53374.14050171752	878866.1982429853	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9500019855753409	0.9796005891502636	1.0704105615731965	4.0568557808472855E-6	-119931.44097493752	-124410.73259570204	-132227.0204891355	-836.199277453647
1600	-375954.78061491146	-849.8917898381031	-375104.8888250734	246333.1450417282	49191.583381335455	100234.70935404908	89502.912318192	53374.14050171752	1236546.2686535132	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9500019855753409	0.9796005891502636	1.0704105615731965	4.0568557808472855E-6	-119389.91277683231	-123970.74076266572	-131744.2352855753	-835.7564775274636
1700	-374990.47623757424	-852.8526813938496	-374137.6235561804	252017.50959648084	47440.551819277665	103115.5074887397	93890.25077237729	51197.852197434186	1358805.66438279	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9500019855753409	0.9796005891502636	1.0704105615731965	3.793135005606288E-6	-119049.83170430815	-123665.80992020613	-131421.98193166612	-838.6902333483959
1800	-370386.1063167395	-844.2629343670478	-369541.84338237246	214349.41950364763	40349.794582435155	87703.2282694378	79856.83527440115	43545.50569095383	1250413.138949469	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9500019855753409	0.9796005891502636	1.0704105615731965	4.459710877172972E-6	-117543.8732604054	-122131.81035415197	-129866.1597678151	-830.0218892473508
1900	-368787.6536460842	-849.6160833814191	-367938.0375627028	237028.06473881975	44618.89257563754	65990.42319360645	112290.89631853269	48152.717025783255	985052.4481672215	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9500019855753409	1.0092127575348044	1.0407928674994629	4.033009503450453E-6	-117017.73272972998	-121615.04939647557	-129305.2554364972	-835.7140431571814
2000	-366796.13271001546	-840.2002609165025	-365955.93244909897	199454.11102715103	37545.85586097566	55529.54756176018	94490.41794411119	40519.49451008027	868259.2190846736	2.0	2.0	2.013975561133141	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9500019855753409	1.0092127575348044	1.0407928674994629	4.7927637728459805E-6	-116343.26878501658	-120994.25506375845	-128618.40860032396	-826.2463920346034
2100	-364146.63876718626	-842.5392844127556	-363304.0994827735	204127.87756753174	38425.66006229944	56830.75985595704	93462.21535428302	41468.979365013016	832957.4121423352	2.0	2.0	2.013975561133141	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9730292243392951	0.9861855187708503	1.0407928674994629	4.683027370232056E-6	-115506.23689875528	-120126.28650798072	-127671.5760760375	-828.6500626214219
2200	-362148.0272260381	-830.1857215237194	-361317.8415045144	167716.8400741317	36926.03391039252	46693.64897942285	76791.01753440076	34072.00556375948	765131.143560154	2.0	2.0	2.013975561133141	0.6461166431894418	0.6418142648813019	0.5185238687762233	0.9693785845378569	0.9898361585722885	1.0407928674994629	5.699704557119014E-6	-114859.76597441333	-119469.08203515928	-126988.99349494178	-816.1851619006565
2300	-359285.93741370336	-819.7155717757666	-358466.2218419276	137018.601512349	32978.23152337692	38366.67922125715	62735.48813955221	27835.598089039828	697121.9761648863	2.0	2.0	2.013975561133141	0.6461166431894418	0.6418142648813019	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	6.264205275450834E-6	-113962.29955668582	-118601.76938375819	-125902.15290148363	-805.7137560536258
2400	-357015.00125888496	-829.8362220500153	-356185.16503683495	163751.8688774252	39412.510306045435	45856.2412689323	74975.61144545284	33266.51387541968	812598.3996687689	2.0	2.0	2.013975561133141	0.6467895038705854	0.6418142648813019	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	5.121817603257434E-6	-113264.65363032595	-117869.37736645264	-125051.13404005638	-815.8822707217574
2500	-356534.5342440747	-829.4076736207376	-355705.126570454	163751.8688774252	39371.979948718596	45856.2412689323	74975.61144545284	33266.51387541968	860069.6983639555	2.0	2.0	2.013975561133141	0.6467895038705854	0.6418142648813019	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	5.121817603257434E-6	-113075.15559609291	-117731.56842376824	-124898.40255059284	-815.3969458760625
2600	-354994.10221835313	-853.0886252210144	-354141.01359313214	239707.3845959818	59457.81134135468	67126.43792912127	109752.68771757939	48697.026118656504	839990.1122872568	2.0	2.562240552991353	2.013975561133141	0.6467895038705854	0.6418142648813019	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	3.4988792940038563E-6	-112651.11759555309	-116956.6732412032	-124533.22275637588	-839.2634838634403
2700	-353188.79454830854	-854.9095540644495	-352333.8849942441	259749.91863552717	65351.762902634066	72739.04731708585	118929.38447733392	52768.706285092914	938067.1362171727	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.6418142648813019	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	3.2289026652576047E-6	-111868.38444694209	-116425.94968335622	-124039.55086394578	-840.8597879598469
2800	-351445.12613118347	-857.324279371011	-350587.80185181246	263097.8768759943	68803.35029446415	73676.59253037492	117862.43878984834	53448.850579166254	938067.1362171727	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.6418142648813019	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	3.1878144154618427E-6	-111348.8248272046	-115867.05398320938	-123371.92304139846	-843.2873072612773
2900	-350170.39670205547	-871.775051603767	-349298.6216504517	342962.7088853209	99525.18399174207	308024.94122666476	155276.0934509878	70415.38256455402	1509764.6467222134	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	0.9898361585722885	1.0407928674994629	2.419712996800522E-6	-110892.74568552819	-115399.29977860831	-123006.57618631514	-857.5376028828591
3000	-348528.18261536484	-871.2314834332905	-347656.95113193156	342962.7088853209	97610.51240913302	294568.5403190771	155276.0934509878	70753.92933603958	1542833.079650748	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	1.0151426889313528	1.0154816148917778	2.419712996800522E-6	-110349.29719593127	-114880.40859162222	-122427.24534437804	-856.9723680995331
3100	-348253.79301225976	-876.4393956592262	-347377.3536166005	373536.08968024154	107065.80129527104	323102.6661703032	170317.3045301408	80517.12729802547	1785404.729876892	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	1.0151426889313528	1.0154816148917778	2.206021181771793E-6	-110256.441573293	-114790.81505574826	-122330.0969875592	-862.1266215408378
3200	-345297.2197026815	-852.8993735399649	-344444.32032914157	216155.43867731915	61956.142620995466	186970.95266922895	98558.1117652271	47134.18693550916	1785404.729876892	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	1.0151426889313528	1.0154816148917778	3.812203528318091E-6	-109325.85146814653	-113818.06275110992	-121300.40610988512	-838.0401295836541
3300	-342820.5283581821	-850.8748198762407	-341969.6535383059	234041.15938304286	71236.4296955425	68650.96723587671	105258.42443782315	54411.64144202813	1453016.212850965	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9693785845378569	1.0151426889313528	1.0154816148917778	3.5208701245671776E-6	-108517.28786580227	-112965.85284667472	-120486.5128258289	-836.3009992295433
