# BEAST v1.6.1, Build r3651
# Generated Sun Jan 24 01:04:21 EST 2016 [seed=1453615444838]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-2)	tmrca(HIV-1)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
0	-615260.3527783907	-434.0198559529765	-614826.3329224378	1099.821424502535	449.3714917207714	342.4739634090981	330.0	2.0	0.5	7.5E-4	-614826.3329224378	-426.6295577879813
1000	-409273.52026429836	-576.5494872558584	-408696.9707770425	2922.404412871328	2560.724989172837	1079.5562266641696	10633.821055641885	2.0	0.5957975781981706	4.3673182234133765E-4	-408696.9707770425	-566.226700317024
2000	-374500.52780247584	-568.3644086352142	-373932.16339384066	1570.5809126256763	875.7680578148276	555.9182834777954	19307.94331444488	2.0	0.5957975781981706	5.245314078297467E-4	-373932.16339384066	-557.2621418203507
3000	-347905.9835871115	-537.3217552565866	-347368.66183185496	939.686211510974	282.2050017265316	494.45394019169584	6608.230759681231	2.5949719180918107	0.66022348800943	6.622373692354171E-4	-347368.66183185496	-526.8278158851662
4000	-332910.5950685964	-517.5270011909697	-332393.06806740543	769.8175862077226	226.80669460274694	375.9913526658213	4438.44115491227	2.8820566812430215	0.66022348800943	8.711597534964951E-4	-332393.06806740543	-507.0518131503171
5000	-321212.13580302434	-513.7729415017891	-320698.36286152253	839.7848924048027	256.6030526301198	398.3907747979726	3638.7252227622316	2.8820566812430215	0.66022348800943	8.439415619100468E-4	-320698.36286152253	-503.52813368417856
6000	-318305.990246555	-510.8681356794012	-317795.1221108756	900.8000358610635	260.6481667396566	420.4981839365553	4264.247836384026	3.418067483234194	0.6979925565356931	9.066100201801664E-4	-317795.1221108756	-500.2068698394936
7000	-317996.9684543746	-511.91519510760634	-317485.05325926695	928.6636238237613	255.53807109356097	427.32773591263344	3933.159212278904	3.418067483234194	0.6979925565356931	8.718234983477073E-4	-317485.05325926695	-501.3738384091406
8000	-317942.2231444773	-510.69418178315044	-317431.52896269417	891.8900550842425	230.06342379996832	413.31960963949683	4307.624990651051	3.418067483234194	0.6979925565356931	8.899039043254329E-4	-317431.52896269417	-500.0413753699139
9000	-317918.72347341815	-510.6275790810054	-317408.09589433717	882.5370880673228	223.76557955452725	400.60052884987493	2880.074568764586	3.418067483234194	0.6979925565356931	9.14950098623988E-4	-317408.09589433717	-500.34961487646495
10000	-317915.27651564503	-510.97177016338424	-317404.30474548164	912.9860254910999	230.79048392274822	431.47048916922364	3663.4905020509327	3.418067483234194	0.6979925565356931	8.980931077457457E-4	-317404.30474548164	-500.47178296401887
11000	-317906.5091722915	-515.754194152095	-317390.7549781394	985.9162592063218	243.49725426121208	451.29859650704213	5111.129009811902	3.418067483234194	0.6979925565356931	8.39058215728532E-4	-317390.7549781394	-504.9891287343521
12000	-317906.67244344344	-516.3473427045582	-317390.3251007389	977.1497657163784	245.4850716743261	454.9828237126937	3183.2434992695553	3.418067483234194	0.6979925565356931	8.432103582480209E-4	-317390.3251007389	-506.05086552374
13000	-317915.3949066365	-522.2563225230091	-317393.1385841135	1120.908021255649	280.782377554548	520.4029642910979	4753.3575640409035	3.418067483234194	0.6979925565356931	7.176825082759933E-4	-317393.1385841135	-511.7199228798493
14000	-317893.86010495096	-514.1529259436309	-317379.70717900735	961.0674659265204	236.79114523830393	441.98437252669873	4806.455545064792	3.3551851507445227	0.6979925565356931	8.734281750166236E-4	-317379.70717900735	-503.4303955478053
15000	-317891.62596130057	-514.1319107928571	-317377.4940505077	967.0576328983163	242.13313915661266	447.9697343530834	4386.518845421899	3.3551851507445227	0.6979925565356931	8.518653101802279E-4	-317377.4940505077	-503.52577687372275
16000	-317905.88228113524	-521.1702716576089	-317384.71200947766	1062.6324023242846	266.53655887376345	492.52311738796016	3586.6726115408665	3.3551851507445227	0.7056515335649457	7.467981932094301E-4	-317384.71200947766	-510.89695066075996
17000	-317910.28724291024	-519.5790081551353	-317390.7082347551	1052.9394816561212	260.57064115956024	491.41535312382507	4376.836106289526	3.3551851507445227	0.6944054934935893	7.677542973697745E-4	-317390.7082347551	-509.07893885807306
18000	-317916.001545127	-524.1722037411574	-317391.82934138586	1145.1193721168029	288.04993625589594	522.1531069137604	5598.775040933225	3.3551851507445227	0.6944054934935893	7.064189443077147E-4	-317391.82934138586	-513.5090908158517
19000	-317913.10201746144	-523.4786433371634	-317389.6233741243	1143.995599162511	280.58519298726463	521.640687375818	5079.038136725548	3.3551851507445227	0.6944054934935893	7.081700150736532E-4	-317389.6233741243	-512.910483084345
20000	-317906.87482729455	-524.5566739297321	-317382.3181533648	1176.365817921342	285.59716601343894	539.819760514688	5412.389361821455	3.3551851507445227	0.684109155520752	6.952179036548383E-4	-317382.3181533648	-513.9433853518941
21000	-317911.7884208695	-523.7473727928704	-317388.04104807664	1137.0303779961093	280.2794170128038	527.4814329886511	4301.745676250725	3.3551851507445227	0.684109155520752	7.084082918459744E-4	-317388.04104807664	-513.3449774534641
22000	-317912.519769984	-524.5046586584567	-317388.01511132554	1150.475313912271	284.67907459019926	536.5943525213731	5401.267593306378	3.3551851507445227	0.684109155520752	6.964643750509533E-4	-317388.01511132554	-513.8916375405284
23000	-317914.2663944599	-531.3291158037271	-317382.9372786562	1281.5770031012667	310.92653799128334	601.7244695641299	4343.720468983887	3.3551851507445227	0.684109155520752	6.2977171775034E-4	-317382.9372786562	-521.0345557694149
24000	-317912.5217750914	-523.0162647277334	-317389.50551036367	1133.4375776539268	282.43862896789943	523.5731583161556	4730.433076773569	3.3551851507445227	0.684109155520752	7.169095824651916E-4	-317389.50551036367	-512.5069563461697
25000	-317910.00621661113	-525.836164568723	-317384.1700520424	1189.2701155226875	299.1151136745433	550.3393771557149	4893.436881618148	3.3551851507445227	0.684109155520752	6.824528643718537E-4	-317384.1700520424	-515.3421850936628
26000	-317910.6038360198	-520.935793712959	-317389.66804230685	1089.2015574047714	272.2406702995977	504.39106545819834	4636.264154416317	3.3551851507445227	0.684109155520752	7.275370934090327E-4	-317389.66804230685	-510.4318926331542
27000	-317905.6094331676	-520.1936150772214	-317385.4158180904	1082.3748922696432	268.12681458858754	500.8036815216199	4957.602706008595	3.3551851507445227	0.684109155520752	7.526155729920744E-4	-317385.4158180904	-509.58884488128035
28000	-317911.26504973986	-520.7675653791975	-317390.49748436065	1087.8944630066085	269.4941272731008	511.4422739837966	3965.9726994965527	3.2550737409981645	0.684109155520752	7.42936152887331E-4	-317390.49748436065	-510.4329773288647
29000	-317921.18141649535	-529.0870747677862	-317392.09434172756	1224.7974401722026	311.53962046204515	575.11785867675	6716.305162109991	3.2550737409981645	0.684109155520752	6.567458718039563E-4	-317392.09434172756	-518.3488894276201
30000	-317906.0492442804	-522.4479818956863	-317383.6012623847	1122.6321630691043	283.64534886402726	517.7124974545796	5470.479082597976	3.2550737409981645	0.6934571191942878	7.223467246554253E-4	-317383.6012623847	-511.8198555691072
31000	-317916.89630321687	-524.0844594864902	-317392.8118437304	1150.5624465431172	291.38720782828693	526.8018084954291	5861.105879287067	3.2550737409981645	0.6934571191942878	7.180353740225725E-4	-317392.8118437304	-513.3933414880739
32000	-317911.799914664	-523.5370361562134	-317388.2628785078	1158.9856074077595	290.8949025261299	540.6005590323531	4904.036128029024	3.2550737409981645	0.6934571191942878	7.138491823255966E-4	-317388.2628785078	-513.0300391760686
