# BEAST v1.6.1, Build r3651
# Generated Tue Jan 05 02:06:50 EST 2016 [seed=1451977571559]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
15000	-336143.43835793127	-1046.5191026320433	-335096.9192552992	9331570.825855734	4261085.670372959	3398390.2314208895	1722902.032652422	2418124.962679392	3.609940564427925E7	2.774728588580385	3.2731514126868304	3.4774386229217153	0.7397783652312635	0.6827217446061505	0.7205194365889968	0.924130698272066	1.0158342409107424	1.0600350608171918	1.0567202691711149E-7	-106567.45553506956	-110834.72631957193	-117694.73740065772	-1031.340654999304
16000	-336136.50515147665	-1045.8306770551121	-335090.67447442154	9151318.246621057	4251222.312804203	3309262.384711629	1783411.3235448769	2379504.3650734155	3.4136363164612725E7	2.774728588580385	3.2731514126868304	3.4774386229217153	0.7397783652312635	0.6827217446061505	0.7206073447244848	0.924130698272066	1.0114713075171933	1.0643979942107409	1.0519809510241772E-7	-106562.71388929246	-110828.67700510305	-117699.28358002602	-1030.7126331629204
17000	-336138.4593420359	-1057.4519953053878	-335081.0073467305	1.1429448371190796E7	5241188.5766106015	4128915.415091442	2181718.5379912653	2899703.3827455966	4.392346403537493E7	2.774728588580385	3.2731514126868304	3.4774386229217153	0.7397783652312635	0.6827217446061505	0.7206073447244848	0.924130698272066	1.0142064251758043	1.0616628765521299	8.530808739466078E-8	-106559.73898823242	-110824.89764438626	-117696.37071411184	-1042.2912322878533
18000	-336153.1082868113	-1073.0378175409191	-335080.07046927034	1.5245855735478437E7	6908246.317810877	5446736.112151559	2834519.1491373535	3697311.5050535263	5.343545542305849E7	2.774728588580385	3.2731514126868304	3.4774386229217153	0.7397783652312635	0.6405796563109782	0.7255960014924563	0.924130698272066	1.0142064251758043	1.0616628765521299	6.550862206366517E-8	-106561.50147721125	-110824.57562218906	-117693.99336987005	-1057.9448521092634
19000	-336163.1716210492	-1067.530260785659	-335095.6413602635	1.3494947686479365E7	6197002.535542304	4887275.755612359	2574621.01489413	3321060.6280923495	6.195739033690379E7	2.774728588580385	3.2731514126868304	3.561285129239559	0.7397783652312635	0.6405796563109782	0.7255960014924563	0.8904684230116154	1.0142064251758043	1.0953251518125804	7.283965821587159E-8	-106567.09737447831	-110826.41577312187	-117702.12821266336	-1052.1555875058202
20000	-336209.44697804435	-1126.004673265133	-335083.4423047792	3.836258942888961E7	1.7669830782862417E7	1.3946119808225963E7	6990412.5903243115	9477491.517158393	1.2860946605002739E8	2.774728588580385	3.2731514126868304	3.561285129239559	0.6877206714049368	0.6405796563109782	0.7255960014924563	0.9345097598711828	1.0174784668439407	1.0480117732848766	2.5523826321357453E-8	-106556.09151749666	-110825.32863827575	-117702.02214900676	-1110.9472659968676
21000	-336189.0910722865	-1110.2201292516872	-335078.87094303477	2.9154464234972145E7	1.345051453232887E7	1.0653545024375686E7	5321018.221474954	7307028.174395756	1.2155469503065677E8	2.774728588580385	3.2731514126868304	3.561285129239559	0.6877206714049368	0.6405796563109782	0.7255960014924563	0.9345097598711828	0.9886969684648214	1.076793271663996	3.4331746518890694E-8	-106552.39311852047	-110824.57120822184	-117701.90661629249	-1094.9229764335976
22000	-336229.2404817836	-1150.2129975252014	-335079.0274842584	6.283465881225901E7	2.765212938596723E7	2.190738620048677E7	1.1240515584036032E7	1.486606514631059E7	2.297853902198509E8	2.774728588580385	3.2731514126868304	3.561285129239559	0.6877206714049368	0.6405796563109782	0.7255960014924563	0.9345097598711828	0.9886969684648214	1.076793271663996	1.6473960117703006E-8	-106559.51502475742	-110824.00536012939	-117695.5070993716	-1135.0126184776345
23000	-336232.2538578761	-1157.762766439503	-335074.4910914366	6.93908325801708E7	3.104867052695832E7	2.4592738793706615E7	1.2625777135549117E7	1.6694701234650975E7	3.081697151619858E8	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.6405796563109782	0.7170443399925115	0.9345097598711828	0.9886969684648214	1.076793271663996	1.4831081234835262E-8	-106562.26634608176	-110823.45329309702	-117688.77145225785	-1142.3956443769841
24000	-336219.41744727385	-1140.6422188093484	-335078.7752284645	5.1008859173680745E7	2.2528131565664593E7	1.8305765300803494E7	9394883.42610611	1.2431255928568155E7	1.7455939616039214E8	2.774728588580385	3.2731514126868304	3.4953377214010746	0.6877206714049368	0.6405796563109782	0.7170443399925115	0.9345097598711828	0.9886969684648214	1.076793271663996	1.957884218410832E-8	-106567.6136600062	-110829.55461509098	-117681.60695336734	-1125.5660356222024
