# BEAST v1.8.2, r6687
# Generated Sun Jan 24 12:06:37 EST 2016 [seed=1453655180944]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-2)	tmrca(HIV-1)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
56000	-317889.55609316466	-485.4531942011925	-317404.1028989635	591.3838015908066	154.84696978273715	271.1833292698824	2648.897812154482	3.259936804763272	0.6827399627334181	0.0014358832150716365	-317404.1028989635	-474.8622808075096
57000	-317888.9424660596	-485.559733386851	-317403.38273267273	581.6605444279352	155.79091769356563	272.15160924989095	2422.419057505063	3.259936804763272	0.6827399627334181	0.0014210328534140391	-317403.38273267273	-475.0685827659482
58000	-317885.00840521423	-486.94572590871223	-317398.0626793055	598.1770514495827	158.80360869568398	277.52963417281757	2366.536547730395	3.259936804763272	0.6827399627334181	0.001368715346093895	-317398.0626793055	-476.51538833858217
59000	-317885.5642708033	-487.833790107565	-317397.7304806957	617.3363782293953	160.9609112001996	283.96078435313757	2426.8523625501407	3.259936804763272	0.6827399627334181	0.0013779135376094974	-317397.7304806957	-477.3715938170177
60000	-317872.6285715648	-489.09693907966147	-317383.53163248516	629.6138975968682	163.4981641054024	291.6368994310035	2712.150821930193	3.259936804763272	0.6827399627334181	0.0013249170931964173	-317383.53163248516	-478.56277727334907
61000	-317874.5234973769	-488.80058615985956	-317385.722911217	612.9903397186522	161.45606988381874	284.1273510659436	2938.9507665240667	3.259936804763272	0.6827399627334181	0.0013252709199670703	-317385.722911217	-478.18584694590396
62000	-317869.2246385765	-489.5451555551442	-317379.6794830214	621.5405211774472	163.70810977039207	288.0904484454807	2987.693796407632	3.259936804763272	0.6827399627334181	0.001297919233529148	-317379.6794830214	-478.9348008791752
63000	-317877.5987445645	-488.91622816529684	-317388.68251639925	618.1754421260886	162.02513387285393	285.59033397199516	2159.91441500913	3.259936804763272	0.6827399627334181	0.0013293127382839557	-317388.68251639925	-478.6064308656427
64000	-317878.7287520154	-487.8411522577385	-317390.88759975764	607.1248394607474	159.76838911274817	283.2827697786982	2347.2807395627024	3.259936804763272	0.6827399627334181	0.0013513747572900386	-317390.88759975764	-477.4317221260517
65000	-317880.88966868294	-492.7921402386534	-317388.0975284443	660.5383073791262	174.52393100735173	309.5998397756582	2969.443813727499	3.259936804763272	0.6810787875821834	0.0012281799583210625	-317388.0975284443	-482.2430865481779
66000	-317880.4376820226	-492.69168492421187	-317387.74599709833	661.5725644202278	174.7438433457513	311.9236989527033	2954.5749708494577	3.259936804763272	0.6810787875821834	0.0012315662016506614	-317387.74599709833	-482.1449005150264
67000	-317876.9044805252	-491.8236031093786	-317385.0808774158	651.6180480873586	171.9920176728573	307.5878732935995	2492.068850120029	3.259936804763272	0.6810787875821834	0.0012701241272702003	-317385.0808774158	-481.41626312754744
68000	-317879.0399615159	-492.43529524644896	-317386.6046662695	658.7601354291203	172.69796675609282	309.6027759724278	2343.0044928403327	3.259936804763272	0.6810787875821834	0.0012613225052895915	-317386.6046662695	-482.09658132730266
69000	-317879.1947674083	-492.97976072444123	-317386.21500668384	665.2005539836341	172.64333791229862	312.62963105315146	3140.4792152575164	3.259936804763272	0.6810787875821834	0.001220490373031248	-317386.21500668384	-482.38098066534434
70000	-317886.95095066977	-492.45930712904203	-317394.49164354074	657.8243328617144	170.66535449899703	304.80419203299175	3198.8230798086674	3.3244191384524577	0.6810787875821834	0.0012592545049172614	-317394.49164354074	-481.7888958159276
