# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:28:17 EST 2016 [seed=1451770041623]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
14000	-335808.27446997544	-1012.3555612388692	-334795.91890873655	5147491.929237196	2419875.2637660103	1880656.744187491	966677.5641225943	1284196.8787518095	2.0087774466338065E7	2.924483420172151	3.5548652434117938	3.700578354282867	0.746006941293411	0.6481955729050677	0.7175945990194322	0.9393942963189044	1.0016125144901133	1.0589931891909825	1.9575587908185796E-7	-106476.90862819534	-110754.72552792945	-117564.28475261175	-996.9254314577903
15000	-335755.5780226668	-974.0091372467484	-334781.56888542004	2613709.786452759	1215971.7404235296	967831.3996389462	480845.0768101152	647345.9917871562	1.063251941203269E7	2.924483420172151	3.5548652434117938	3.700578354282867	0.7474812762099718	0.6481955729050677	0.7175945990194322	0.913762891904682	1.0272439189043356	1.0589931891909825	3.91761556350764E-7	-106477.09312723925	-110756.50834994133	-117547.96740823946	-958.5221104590674
16000	-335774.88642318157	-1009.6417161755912	-334765.244707006	5009827.784842313	2317406.5147683527	1833381.6918736473	915152.6585762048	1233604.0047738517	1.9870370082707684E7	2.924483420172151	3.3859142112163543	3.4995454864663813	0.6687687225845528	0.6481955729050677	0.7175945990194322	0.9118413821216245	1.0304125373256603	1.0577460805527155	1.9996902825004167E-7	-106474.74305300733	-110743.22755852705	-117547.2740954716	-994.3233769745351
17000	-335787.6204298231	-1018.9135884706892	-334768.70684135245	5654099.003704786	2677078.6697753062	2134275.874043778	1039549.6678928509	1434455.4501759016	2.578298922143199E7	2.8607905525118573	3.3859142112163543	3.4995454864663813	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.8988424135844301	1.0304125373256603	1.07074504908991	1.7186345237084797E-7	-106476.33054404822	-110748.98820578709	-117543.38809151715	-1003.5089698847087
18000	-335778.6770765569	-1009.4729706671402	-334769.2041058898	4815803.695063911	2263262.1980553125	1772968.810919559	877242.301921833	1215225.9154560347	2.0857472064234924E7	2.8607905525118573	3.3859142112163543	3.4995454864663813	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.9647859034209882	0.9720384035732241	1.063175693005788	2.0704425301606044E-7	-106474.8451246989	-110747.6892830405	-117546.66969815033	-994.0943087257915
19000	-335786.87935611163	-1020.3914923003018	-334766.4878638113	5870573.851201675	2815747.3016836825	2166896.730157745	1114919.941986085	1491371.87620459	2.3630411164631836E7	2.8607905525118573	3.3859142112163543	3.4995454864663813	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.9647859034209882	0.9720384035732241	1.063175693005788	1.709500864242787E-7	-106471.02828409907	-110749.75828912585	-117545.70129058638	-1005.0793774947944
20000	-335797.6946880318	-1033.8818040949066	-334763.8128839369	7489227.769394665	3330430.9874337977	2648246.7715609474	1368222.6570870234	1845906.271365832	3.6163442090103894E7	2.8335069501624646	3.3859142112163543	3.457844444787678	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.9439516761333281	0.9928726308608843	1.063175693005788	1.362481320664714E-7	-106466.6877882199	-110749.72422545249	-117547.4008702645	-1018.3945888609156
21000	-335797.4164603787	-1037.326538287725	-334760.08992209093	8343569.06708148	3664594.5485168686	2912514.784246083	1496455.6420071395	2030689.9968175136	3.135149900017255E7	2.8335069501624646	3.3859142112163543	3.457844444787678	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.9439516761333281	1.0201147540666577	1.0359335698000145	1.2457026069684186E-7	-106467.34939095846	-110745.31537891967	-117547.4251522128	-1022.0716279107027
22000	-335794.5928089872	-1029.820252741366	-334764.77255624585	6737434.4252306605	3127721.994939629	2582347.7931075264	1294098.2241447347	1744470.3897042759	3.06471137994598E7	2.8335069501624646	3.3859142112163543	3.457844444787678	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.9439516761333281	1.0144506000836948	1.0415977237829774	1.450311441822813E-7	-106475.2434140894	-110742.60598361406	-117546.92315854238	-1014.4361394251765
23000	-335832.2278765689	-1073.0437195214886	-334759.1841570474	1.5268952342325004E7	7000055.01477024	5520842.319564612	2761039.2800866934	3707617.1313146087	6.933929491969895E7	2.8335069501624646	3.3859142112163543	3.457844444787678	0.6885236439679332	0.6481955729050677	0.7175945990194322	0.947632141385292	1.010770134831731	1.0415977237829774	6.696889373926862E-8	-106464.0732976795	-110744.14197261268	-117550.96888675522	-1057.615080472676
