# BEAST v1.8.2, r6687
# Generated Mon Feb 29 01:59:52 EST 2016 [seed=1456729175542]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1-M)	tmrca(HIV-1-O)	tmrca(HIV-2)	tmrca(HIV-1-N)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-836593.383195339	-371.3875390289039	-836221.9956563101	305.84512647378705	305.84512647378705	305.84512647378705	291.179401254338	291.179401254338	330.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.9E-4	-836221.9956563101	-365.06206468970413
6000	-323384.46471818606	-502.6554190688659	-322881.8092991172	798.0867588005445	116.12239130127135	798.0867588005445	204.67384759569597	58.42995366836872	3064.0060655903603	3.756042850266782	0.26113896634235745	0.27069343510660193	0.2186006610396599	0.2495669375113807	0.615207269040761	0.0010558736712576642	-322881.8092991172	-491.5242098175399
12000	-317996.25588254374	-499.7780860527834	-317496.47779649094	706.8774411581121	110.70904448612092	673.3812711540354	190.17349625660947	55.27374062480928	2750.6463560701513	3.4578856687673074	0.2790799091583869	0.2644594945901668	0.22058517639174766	0.23587541985969857	0.749801604836105	0.0010618276415370065	-317496.47779649094	-488.577594509732
18000	-317811.26681476226	-500.8247846169763	-317310.44203014526	719.2482139814473	109.83312601060402	691.8287501688117	197.6778687093589	52.813505357127454	3377.8169138379512	3.4578856687673074	0.28663090598948293	0.258525339256662	0.2189683348941564	0.23587541985969857	0.6901274297815614	0.0010663929455427732	-317310.44203014526	-489.5339617539103
24000	-317529.2994193401	-498.9377354089823	-317030.3616839311	717.932507449395	109.4936730308545	682.7251661481282	190.84796414787303	52.53259175257814	3060.7682094640477	3.4578856687673074	0.3016687913742363	0.25019289564721087	0.21226289311885416	0.23587541985969857	0.694359844641551	0.0011039804464219106	-317030.3616839311	-487.70240564154085
30000	-317491.35772567865	-506.7624206137059	-316984.5953050649	819.727294937158	123.95859747750066	773.7360749847019	222.8885187180038	55.340459568550436	3214.532050947602	3.4225478805975964	0.3048375942317591	0.25236268468899437	0.21020846726336218	0.23259125381588425	0.694359844641551	9.551799824053811E-4	-316984.5953050649	-495.63452848460156
36000	-317269.4643777478	-505.41576834000716	-316764.0486094078	775.8574676102753	122.53835014004186	746.735507793556	207.61603245346902	56.59696364509039	4262.168953499744	3.5393365162362884	0.3210544750394118	0.24843884979776096	0.20814276058603512	0.222363914576792	0.694359844641551	0.0010186301737211431	-316764.0486094078	-493.90266811095273
42000	-317189.61418199545	-500.98452258767287	-316688.6296594078	740.8004825967521	112.79101892633057	713.1970080184891	196.25089758592569	51.71674926664009	3257.987234397269	3.5393365162362884	0.3313523244835402	0.23953804327389677	0.20674571766577093	0.222363914576792	0.694359844641551	0.0010774009607752483	-316688.6296594078	-489.6840541102495
48000	-317165.82763833884	-498.1240134021666	-316667.7036249367	719.9388774029817	108.08926114428046	684.4255048307698	187.4490404733776	52.520013252001824	2948.6765095379	3.464874698717482	0.33457619952928486	0.23953804327389677	0.20674571766577093	0.21914003953104733	0.7033925168292396	0.0011368307428198466	-316667.7036249367	-486.87630353844634
54000	-317127.24042089086	-498.77969295226956	-316628.46072793857	725.3539756046429	109.7494774310947	694.1258959871102	192.86212963427664	50.827397812698635	2742.654749369725	3.464874698717482	0.3491362580387927	0.23509464352749354	0.20231235484757418	0.21345674358613947	0.7033925168292396	0.0011143846103922178	-316628.46072793857	-487.62433526698635
60000	-317116.4030845814	-500.12811251031644	-316616.2749720711	724.0487950824956	107.20096372432674	688.6776418996965	194.74904462781134	50.917437701465786	2326.6248409860646	3.464874698717482	0.3491362580387927	0.23517780775375846	0.20699596094724954	0.2086899732601992	0.6744174542801513	0.0011197383887222368	-316616.2749720711	-489.1904246812865
66000	-317124.51079422364	-498.9975874913516	-316625.5132067323	711.9479376818575	108.65340215437905	668.5514321553162	193.0571086587211	50.818565026599515	2725.037751002153	3.446100848696758	0.3481001774451934	0.23517780775375846	0.20803204154084887	0.2086899732601992	0.6804730768286367	0.001124316492127424	-316625.5132067323	-487.89191609726777
