# BEAST v1.6.1, Build r3651
# Generated Sun Jan 24 07:25:06 EST 2016 [seed=1453638294803]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-2)	tmrca(HIV-1)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
13000	-317923.3407032072	-481.5989241605217	-317441.74177904666	580.6795481225303	149.94732092380033	253.98183010012798	2315.30403542426	3.1627635701554215	0.6994239803277426	0.0014905421645574875	-317441.74177904666	-471.13877869843145
14000	-317915.2818351521	-479.14253739781367	-317436.13929775433	557.2889668020749	145.01833797759366	241.58452678505412	2056.8685952285996	3.1627635701554215	0.7037328805649701	0.0015546983964048826	-317436.13929775433	-468.7586486511315
15000	-317913.6682132929	-479.7489186044306	-317433.91929468844	562.9813601385918	142.42214713720927	244.2837348908697	2108.7421611960253	3.1627635701554215	0.7037328805649701	0.0015337102512072399	-317433.91929468844	-469.3537011451457
16000	-317904.36978163687	-479.6214477854152	-317424.74833385146	549.1186940474051	141.48260956205425	245.57165370257889	2087.2211657807597	3.1627635701554215	0.7037328805649701	0.001543895095937416	-317424.74833385146	-469.2298762710798
17000	-317905.4367612963	-482.31858951142124	-317423.11817178485	577.6451307557373	144.33961162033557	250.53055799658046	1795.3784836626205	3.1627635701554215	0.7037328805649701	0.0015030564314995813	-317423.11817178485	-472.10441682176963
18000	-317908.49757225515	-480.68007729730743	-317427.8174949578	554.4773299496835	145.70112579045932	249.10823521812668	2086.6157114510033	3.1627635701554215	0.7037328805649701	0.0015069402836001048	-317427.8174949578	-470.3129989249438
19000	-317916.54765559215	-483.22715149793584	-317433.32050409424	593.3785087251312	151.34046234505794	256.32240770754413	2159.777378032904	3.1627635701554215	0.7037328805649701	0.001431219585121248	-317433.32050409424	-472.87711432831503
20000	-317910.3121002901	-484.8028869469049	-317425.5092133432	600.1944082521295	153.48651912875872	257.83477280349473	2788.67543014806	3.1627635701554215	0.7037328805649701	0.0014028165980551708	-317425.5092133432	-474.2173130508192
21000	-317902.5778896115	-484.83120569780283	-317417.7466839137	601.1975978282982	153.1107465260161	264.46138620219847	2364.468928458302	3.1627635701554215	0.7037328805649701	0.001386598638340724	-317417.7466839137	-474.4222618200968
22000	-317907.27837907156	-485.20674630573194	-317422.0716327658	607.0326908719142	154.14546127924612	269.42755015995596	2440.2346351584733	3.1627635701554215	0.7037328805649701	0.0014158315563190828	-317422.0716327658	-474.74541920234986
