# BEAST v1.6.1, Build r3651
# Generated Wed Jan 06 01:39:04 EST 2016 [seed=1452062334603]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
32000	-335936.3629075056	-1114.7306012710717	-334821.6323062345	3.316038724960313E7	1.2552750534061713E7	6339586.960598013	1.6174330162965667E7	8483049.899623802	1.448813700238397E8	3.1855925768024376	0.6973547863292089	2.9050333519660152E-8	-334821.6323062345	-1104.05319687327
33000	-335928.5732651571	-1111.461179996072	-334817.11208516103	3.237962488396676E7	1.1870740832304662E7	6026303.642447483	1.5379921414675403E7	8067144.963561622	1.2654681827846277E8	3.1855925768024376	0.6973547863292089	3.055261035593845E-8	-334817.11208516103	-1100.8687087803467
34000	-335976.7680062005	-1156.6302670499715	-334820.13773915055	6.968490687910688E7	2.633667972392123E7	1.335240565853859E7	3.4140564415440924E7	1.790600726280185E7	2.4223586882673308E8	3.1855925768024376	0.6973547863292089	1.3789093067735582E-8	-334820.13773915055	-1146.1832728957468
35000	-336079.05366456485	-1258.1346564440423	-334820.91900812084	4.4379165873145556E8	1.6264982382942653E8	8.245891311970863E7	2.1084018416608596E8	1.1057001790639003E8	1.6010732339558141E9	3.1855925768024376	0.6973547863292089	2.2385744604756194E-9	-334820.91900812084	-1247.615365373189
36000	-336069.17471963563	-1244.5825296512355	-334824.5921899844	3.4254554643130237E8	1.2929259196990739E8	6.439374941611613E7	1.5908913052296355E8	8.702708565654574E7	1.3778159631801467E9	3.1855925768024376	0.6973547863292089	2.875678705331036E-9	-334824.5921899844	-1233.963214139233
37000	-336055.74592099665	-1229.048340544763	-334826.6975804519	2.670043370625892E8	9.727141792818147E7	4.9145947182885826E7	1.2347554167220241E8	6.547312457857916E7	1.1318609916678627E9	3.1855925768024376	0.6973547863292089	3.7000740856628735E-9	-334826.6975804519	-1218.3738494088325
38000	-336075.10304493294	-1246.1432654895252	-334828.9597794434	3.5619994400225854E8	1.2881913768309702E8	6.508526100812813E7	1.6352845064579457E8	8.670733198295052E7	1.6958871367488997E9	3.1855925768024376	0.6973547863292089	2.8178812383826493E-9	-334828.9597794434	-1235.3365267449067
39000	-336117.3064300306	-1288.7666561566143	-334828.539773874	7.662635596357954E8	2.7677879050887793E8	1.397775391914878E8	3.476631864457341E8	1.8621424650143608E8	3.6363592164415436E9	3.1855925768024376	0.6973547863292089	1.3028427830616376E-9	-334828.539773874	-1277.9678056334058
40000	-336120.676467358	-1292.3100903705983	-334828.3663769874	8.137370447004954E8	3.0102086444975936E8	1.5209552396646973E8	3.783239280976215E8	2.0263993593365976E8	3.3368815240949874E9	3.1855925768024376	0.6973547863292089	1.1936099442751437E-9	-334828.3663769874	-1281.684664902888
41000	-336089.19830304093	-1263.7710253814982	-334825.4272776594	4.9743747338067067E8	1.7548693984601325E8	8.691986454483855E7	2.2435903991320977E8	1.1987435183027667E8	2.2605870114554477E9	3.1855925768024376	0.6917958933086248	2.0571761575543756E-9	-334825.4272776594	-1252.9912044786988
